Från (MHZ),Till (MHZ),"Mängd
(MHZ)",Populärnamn,Duplexband,Användning idag,Tilldelningsform,Planerad förändring
40500,42500,2000,V-band,,Tillfälliga tillstånd för test.,Tillfälliga tillstånd för test,"Elektroniska
kommunikationstjänster
(MFCN).
Enligt PTS
marknadskonsultationen
2025, är efterfrågan i
detta frekvensband inte
större än tillgången,
därför är tilldelning
genom en auktion inte
aktuell i närtid. En ny
efterfrågeanalys bör ske
inom 2-4 års tid."
42500,43500,1000,,,"Radioastronomi, tillfälliga
tillstånd för test",Tillfälliga tillstånd för test,"Elektroniska
kommunikationstjänster
(MFCN).
Enligt PTS
marknadskonsultationen
2025, är efterfrågan i
detta frekvensband inte
större än tillgången,
därför är tilldelning
genom en auktion inte
aktuell i närtid. En ny
efterfrågeanalys bör ske
inom 2-4 års tid."
43500,45500,2000,,,TOMT,,
45500,47000,1500,,,Tillfälliga tillstånd för test,Tillfälliga tillstånd för test,
47000,47200,200,,,Amatörradio,"Amatörradio (upp till 200
W) undantag från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt.",
47200,48200,1000,V-band,,Tillfälliga tillstånd för test,Tillfälliga tillstånd för test,
48200,50200,2000,V-band,,TOMT,"All radiosändning förbjuden
från luftburna stationer i
bandet 48940-49040 MHz",
50200,50400,200,,,"Radioastronomi
Rymdforskning
Jordutforskning via satellit","Ingen radiosändning
tillåten",
50400,51400,1000,V-band,,TOMT,,
51400,52400,1000,,,TOMT,,
52400,52600,200,,,TOMT,,
52600,55780,3180,,,"Rymdforskning
Jordutforskning via satellit","All radiosändning förbjuden
i bandet 52600-54250 MHz",
55780,57000,1220,,,Jordutforskning via satellit,,
57000,59000,2000,58 GHz-bandet,,"Fast radio (kanalplan),
SRD (ospecificerad,
dataöverföring samt
nivåmätning i slutna kärl)","Undantag från
tillståndsplikt för fast radio
och SRD",
59000,64000,5000,60 GHz-bandet,,"Fast radio (kanalplan),
SRD (ospecificerad,
dataöverföring, fordon
samt nivåmätning i slutna
kärl)","Undantag från
tillståndsplikt för fast radio
och SRD",
64000,66000,2000,,,"SRD (dataöverföring,
fordon)","Undantag från
tillståndsplikt för SRD",
66000,71000,5000,,,"Radionavigering, Tillfälliga
tillstånd för test SRD
(dataöverföring)","Tillfälliga tillstånd för test
Undantag från
tillståndsplikt för SRD",
71000,76000,5000,70/80 GHz-banden,"81000-
86000","Fast radio Amatörradio
SRD (nivåmätning)","Enskilda radiosändare.
SRD undantag från
tillståndsplikt.",
76000,81000,5000,,,"Radioastronomi
Fordonsradar (SRR) SRD
(nivåmätning)
Radiolokalisering
Amatörradio","Fordonsradar, SRD och
amatörradio upp till 200 W)
undantag från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt och övrig
användning.",
81000,86000,5000,70/80 GHz-banden,"71000-
76000","Fast radio Radioastronomi
SRD (nivåmätning)","Enskilda radiosändare.
SRD undantag från
tillståndsplikt.",
86000,92000,6000,,,"Jordutforskning via satellit
Radioastronomi","Ingen radiosändning
tillåten",
92000,100000,8000,90 GHz-bandet,,"Molnradar Jordutforskning
Radioastronomi",,
100000,116000,16000,,,"Radioastronomi
Jordutforskning via satellit","Radiosändning förbjuden i
olika delband",
116000,122000,6000,,,Jordutforskning via satellit,,
122000,123000,1000,,,"SRD (ospecificerat)
Amatörradio","SRD och amatörradio (upp
till 200 W) undantag från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt.",
123000,134000,11000,,,TOMT,,
134000,141000,7000,,,Amatörradio,"Amatörradio (upp till 200
W) undantag från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt.",
141000,241000,100000,,,"Jordutforskning i vissa
delband","Radiosändning förbjuden i
olika delband",
241000,246000,5000,,,"SRD (ospecificerat)
Amatörradio","SRD och amatörradio (upp
till 200 W) undantag från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt.",
246000,250000,4000,,,Amatörradio,"Amatörradio (upp till 200
W) undantag från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt.",
250000,3000000,2750000,,,"Jordutforskning i vissa
delband","Radiosändning förbjuden i
olika delband",
